Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uf 0201,C_0201_0603Metric,42.200000,-37.410000,0.000000,top
C2,22pF 0402,C_0402_1005Metric,41.650000,-51.400000,-90.000000,top
C3,1uf 0201,C_0201_0603Metric,41.530000,-38.660000,90.000000,top
C4,4.7uf 0402,C_0402_1005Metric,43.870000,-38.480000,180.000000,top
C5,100nf 0201,C_0201_0603Metric,35.593000,-35.027000,0.000000,top
C6,100nf 0201,C_0201_0603Metric,39.122000,-37.958000,90.000000,top
C7,100nf 0201,C_0201_0603Metric,42.650000,-49.725000,-90.000000,top
C8,100nf 0201,C_0201_0603Metric,34.375000,-45.220000,-90.000000,top
C10,1uf 0201,C_0201_0603Metric,42.320000,-38.580000,90.000000,top
C11,100nf 0201,C_0201_0603Metric,44.993952,-44.918952,-45.000000,top
C13,100nf 0201,C_0201_0603Metric,40.060000,-38.475000,90.000000,top
C14,100nf 0201,C_0201_0603Metric,44.600000,-40.950000,0.000000,top
C15,100nf 0201,C_0201_0603Metric,35.125000,-40.275000,90.000000,top
C16,100nf 0201,C_0201_0603Metric,44.600000,-40.175000,0.000000,top
C18,100nf 0201,C_0201_0603Metric,41.875000,-49.725000,-90.000000,top
C19,22pf 0402,C_0402_1005Metric,37.775000,-50.775000,-90.000000,top
D1,Schottky Barrier SOD-723,D_SOD-523,42.210000,-35.760000,90.000000,top
FLASH1,W25Q16JVUXIQ,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,36.600000,-37.250000,90.000000,top
GPIO25_LED1,LED_0402,LED_0402_1005Metric,45.350000,-37.767500,-90.000000,top
GPIO25_RESISTOR1,1K 0201,R_0201_0603Metric,44.600000,-43.175000,180.000000,top
J2,Button,SW_SPST_CK_KXT3,44.350000,-51.025000,90.000000,top
R1,1K 0201,C_0201_0603Metric,34.927000,-37.388685,90.000000,top
R2,10K 0201,C_0201_0603Metric,34.925000,-38.850000,90.000000,top
R3,27r 0201,R_0201_0603Metric,40.040000,-36.730000,-90.000000,top
R4,27r 0201,R_0201_0603Metric,40.800000,-36.730000,-90.000000,top
R5,5.1K 0201,R_0201_0603Metric,41.043000,-35.235000,90.000000,top
R6,5.1K 0201,R_0201_0603Metric,39.160000,-35.260000,90.000000,top
R7,1K 0201,C_0201_0603Metric,39.615046,-48.592000,90.000000,top
R101,5.6k 0402,R_0402_1005Metric,43.440000,-35.440000,-90.000000,top
R102,10k 0201,R_0201_0603Metric,44.320000,-35.680000,90.000000,top
U2,Elite-C,Elite-C,39.700000,-41.275000,-90.000000,top
U3,RP2040,RP2040-QFN-56,39.700000,-43.675000,0.000000,top
U101,WL2810D33-4/TR,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,43.870000,-37.210000,180.000000,top
USB1,TYPE-C-31-M-14,USB_C_TYPE-C-31-M-14,39.750000,-30.325000,180.000000,top
Y1,2016_4P,Crystal_SMD_2016-4Pin_2.0x1.6mm,39.700858,-51.010000,180.000000,top
